縣市,南一,康軒,翰林,南一,康軒,翰林
南投縣,19,50,33,0.18627450980392157,0.49019607843137253,0.3235294117647059
嘉義市,4,20,1,0.16,0.8,0.04
嘉義縣,20,25,21,0.30303030303030304,0.3787878787878788,0.3181818181818182
基隆市,3,32,15,0.06,0.64,0.3
宜蘭縣,5,43,16,0.078125,0.671875,0.25
屏東縣,17,67,37,0.14049586776859505,0.5537190082644629,0.30578512396694213
彰化縣,27,58,43,0.2109375,0.453125,0.3359375
新北市,45,151,76,0.16544117647058823,0.5551470588235294,0.27941176470588236
新竹市,9,33,9,0.17647058823529413,0.6470588235294118,0.17647058823529413
新竹縣,8,46,44,0.08163265306122448,0.46938775510204084,0.4489795918367347
桃園市,47,96,58,0.23383084577114427,0.47761194029850745,0.2885572139303483
澎湖縣,8,30,3,0.1951219512195122,0.7317073170731707,0.07317073170731707
臺中市,42,143,77,0.16030534351145037,0.5458015267175572,0.29389312977099236
臺北市,42,142,47,0.18181818181818182,0.6147186147186147,0.20346320346320346
臺南市,40,126,46,0.18867924528301888,0.5943396226415094,0.2169811320754717
臺東縣,13,30,29,0.18055555555555555,0.4166666666666667,0.4027777777777778
花蓮縣,3,29,9,0.07317073170731707,0.7073170731707317,0.21951219512195122
苗栗縣,35,42,30,0.32710280373831774,0.3925233644859813,0.2803738317757009
連江縣,0,14,1,0.0,0.9333333333333333,0.06666666666666667
金門縣,0,14,0,0.0,1.0,0.0
雲林縣,31,34,48,0.2743362831858407,0.3008849557522124,0.4247787610619469
高雄市,63,129,75,0.23595505617977527,0.48314606741573035,0.2808988764044944
