縣市,南一,康軒,翰林,南一,康軒,翰林
南投縣,27,46,35,0.25,0.42592592592592593,0.32407407407407407
嘉義市,11,13,12,0.3055555555555556,0.3611111111111111,0.3333333333333333
嘉義縣,28,24,30,0.34146341463414637,0.2926829268292683,0.36585365853658536
基隆市,13,18,20,0.2549019607843137,0.35294117647058826,0.39215686274509803
宜蘭縣,10,49,24,0.12048192771084337,0.5903614457831325,0.2891566265060241
屏東縣,31,61,35,0.2440944881889764,0.48031496062992124,0.2755905511811024
彰化縣,38,51,43,0.2878787878787879,0.38636363636363635,0.32575757575757575
新北市,52,166,72,0.1793103448275862,0.5724137931034483,0.2482758620689655
新竹市,11,22,26,0.1864406779661017,0.3728813559322034,0.4406779661016949
新竹縣,18,36,51,0.17142857142857143,0.34285714285714286,0.4857142857142857
桃園市,32,111,64,0.15458937198067632,0.5362318840579711,0.30917874396135264
澎湖縣,13,26,3,0.30952380952380953,0.6190476190476191,0.07142857142857142
臺中市,55,133,100,0.1909722222222222,0.4618055555555556,0.3472222222222222
臺北市,56,104,103,0.21292775665399238,0.39543726235741444,0.3916349809885932
臺南市,48,104,72,0.21428571428571427,0.4642857142857143,0.32142857142857145
臺東縣,36,13,26,0.48,0.17333333333333334,0.3466666666666667
花蓮縣,16,40,19,0.21333333333333335,0.5333333333333333,0.25333333333333335
苗栗縣,44,45,22,0.3963963963963964,0.40540540540540543,0.1981981981981982
連江縣,2,13,0,0.13333333333333333,0.8666666666666667,0.0
金門縣,0,14,1,0.0,0.9333333333333333,0.06666666666666667
雲林縣,46,29,45,0.38333333333333336,0.24166666666666667,0.375
高雄市,80,144,85,0.2588996763754045,0.46601941747572817,0.2750809061488673
