縣市,南一,康軒,翰林,南一,康軒,翰林
南投縣,2,36,30,0.029411764705882353,0.5294117647058824,0.4411764705882353
嘉義市,0,2,6,0.0,0.25,0.75
嘉義縣,7,16,22,0.15555555555555556,0.35555555555555557,0.4888888888888889
基隆市,1,13,20,0.029411764705882353,0.38235294117647056,0.5882352941176471
宜蘭縣,1,27,11,0.02564102564102564,0.6923076923076923,0.28205128205128205
屏東縣,5,37,40,0.06097560975609756,0.45121951219512196,0.4878048780487805
彰化縣,8,36,32,0.10526315789473684,0.47368421052631576,0.42105263157894735
新北市,19,57,88,0.11585365853658537,0.3475609756097561,0.5365853658536586
新竹市,2,12,18,0.0625,0.375,0.5625
新竹縣,7,21,29,0.12280701754385964,0.3684210526315789,0.5087719298245614
桃園市,5,61,62,0.0390625,0.4765625,0.484375
澎湖縣,3,24,1,0.10714285714285714,0.8571428571428571,0.03571428571428571
臺中市,14,83,64,0.08695652173913043,0.515527950310559,0.39751552795031053
臺北市,16,75,63,0.1038961038961039,0.487012987012987,0.4090909090909091
臺南市,7,71,55,0.05263157894736842,0.5338345864661654,0.41353383458646614
臺東縣,2,7,38,0.0425531914893617,0.14893617021276595,0.8085106382978723
花蓮縣,3,18,14,0.08571428571428572,0.5142857142857142,0.4
苗栗縣,18,25,22,0.27692307692307694,0.38461538461538464,0.3384615384615385
連江縣,0,9,1,0.0,0.9,0.1
金門縣,0,8,2,0.0,0.8,0.2
雲林縣,15,22,28,0.23076923076923078,0.3384615384615385,0.4307692307692308
高雄市,13,87,96,0.0663265306122449,0.44387755102040816,0.4897959183673469
