縣市,南一,康軒,翰林,南一,康軒,翰林
南投縣,30,42,36,0.2777777777777778,0.3888888888888889,0.3333333333333333
嘉義市,8,11,17,0.2222222222222222,0.3055555555555556,0.4722222222222222
嘉義縣,30,24,27,0.37037037037037035,0.2962962962962963,0.3333333333333333
基隆市,12,19,20,0.23529411764705882,0.37254901960784315,0.39215686274509803
宜蘭縣,8,42,33,0.0963855421686747,0.5060240963855421,0.39759036144578314
屏東縣,23,51,52,0.18253968253968253,0.40476190476190477,0.4126984126984127
彰化縣,27,61,44,0.20454545454545456,0.4621212121212121,0.3333333333333333
新北市,65,137,89,0.22336769759450173,0.47079037800687284,0.30584192439862545
新竹市,10,26,24,0.16666666666666666,0.43333333333333335,0.4
新竹縣,23,39,43,0.21904761904761905,0.37142857142857144,0.4095238095238095
桃園市,39,110,59,0.1875,0.5288461538461539,0.28365384615384615
澎湖縣,9,31,2,0.21428571428571427,0.7380952380952381,0.047619047619047616
臺中市,77,111,102,0.2655172413793103,0.38275862068965516,0.35172413793103446
臺北市,57,117,87,0.21839080459770116,0.4482758620689655,0.3333333333333333
臺南市,39,118,66,0.17488789237668162,0.5291479820627802,0.29596412556053814
臺東縣,26,15,33,0.35135135135135137,0.20270270270270271,0.44594594594594594
花蓮縣,21,28,26,0.28,0.37333333333333335,0.3466666666666667
苗栗縣,29,60,22,0.26126126126126126,0.5405405405405406,0.1981981981981982
連江縣,0,13,2,0.0,0.8666666666666667,0.13333333333333333
金門縣,1,13,1,0.06666666666666667,0.8666666666666667,0.06666666666666667
雲林縣,39,23,58,0.325,0.19166666666666668,0.48333333333333334
高雄市,67,138,102,0.2182410423452769,0.4495114006514658,0.3322475570032573
