縣市,南一,康軒,翰林,南一,康軒,翰林
南投縣,31,40,37,0.28703703703703703,0.37037037037037035,0.3425925925925926
嘉義市,3,20,13,0.08333333333333333,0.5555555555555556,0.3611111111111111
嘉義縣,27,25,30,0.32926829268292684,0.3048780487804878,0.36585365853658536
基隆市,3,17,31,0.058823529411764705,0.3333333333333333,0.6078431372549019
宜蘭縣,6,41,36,0.07228915662650602,0.4939759036144578,0.43373493975903615
屏東縣,24,65,39,0.1875,0.5078125,0.3046875
彰化縣,19,59,54,0.14393939393939395,0.44696969696969696,0.4090909090909091
新北市,43,92,153,0.14930555555555555,0.3194444444444444,0.53125
新竹市,10,21,29,0.16666666666666666,0.35,0.48333333333333334
新竹縣,21,26,58,0.2,0.24761904761904763,0.5523809523809524
桃園市,44,81,83,0.21153846153846154,0.3894230769230769,0.39903846153846156
澎湖縣,17,20,5,0.40476190476190477,0.47619047619047616,0.11904761904761904
臺中市,50,121,119,0.1724137931034483,0.41724137931034483,0.4103448275862069
臺北市,49,58,150,0.19066147859922178,0.22568093385214008,0.5836575875486382
臺南市,39,120,64,0.17488789237668162,0.5381165919282511,0.28699551569506726
臺東縣,20,20,32,0.2777777777777778,0.2777777777777778,0.4444444444444444
花蓮縣,16,25,34,0.21333333333333335,0.3333333333333333,0.4533333333333333
苗栗縣,33,49,29,0.2972972972972973,0.44144144144144143,0.26126126126126126
連江縣,0,12,3,0.0,0.8,0.2
金門縣,1,14,0,0.06666666666666667,0.9333333333333333,0.0
雲林縣,36,27,52,0.3130434782608696,0.23478260869565218,0.45217391304347826
高雄市,73,161,75,0.23624595469255663,0.5210355987055016,0.24271844660194175
