縣市,南一,康軒,翰林,南一,康軒,翰林
南投縣,0,63,40,0.0,0.6116504854368932,0.3883495145631068
嘉義市,0,14,6,0.0,0.7,0.3
嘉義縣,0,42,23,0.0,0.6461538461538462,0.35384615384615387
基隆市,0,24,25,0.0,0.4897959183673469,0.5102040816326531
宜蘭縣,0,42,21,0.0,0.6666666666666666,0.3333333333333333
屏東縣,0,58,38,0.0,0.6041666666666666,0.3958333333333333
彰化縣,0,56,54,0.0,0.509090909090909,0.4909090909090909
新北市,0,148,105,0.0,0.5849802371541502,0.4150197628458498
新竹市,0,19,20,0.0,0.48717948717948717,0.5128205128205128
新竹縣,0,44,39,0.0,0.5301204819277109,0.46987951807228917
桃園市,0,110,71,0.0,0.6077348066298343,0.39226519337016574
澎湖縣,0,33,9,0.0,0.7857142857142857,0.21428571428571427
臺中市,0,162,79,0.0,0.6721991701244814,0.3278008298755187
臺北市,1,129,90,0.004545454545454545,0.5863636363636363,0.4090909090909091
臺南市,0,137,61,0.0,0.6919191919191919,0.30808080808080807
臺東縣,0,36,36,0.0,0.5,0.5
花蓮縣,0,30,10,0.0,0.75,0.25
苗栗縣,0,75,26,0.0,0.7425742574257426,0.25742574257425743
連江縣,0,8,7,0.0,0.5333333333333333,0.4666666666666667
金門縣,0,9,5,0.0,0.6428571428571429,0.35714285714285715
雲林縣,0,53,55,0.0,0.49074074074074076,0.5092592592592593
高雄市,2,142,71,0.009302325581395349,0.6604651162790698,0.3302325581395349
