縣市,南一,康軒,翰林,南一,康軒,翰林
南投縣,132,454,235,0.1607795371498173,0.5529841656516443,0.2862362971985384
嘉義市,33,36,45,0.2894736842105263,0.3157894736842105,0.39473684210526316
嘉義縣,179,248,183,0.2934426229508197,0.4065573770491803,0.3
基隆市,60,111,74,0.24489795918367346,0.4530612244897959,0.3020408163265306
宜蘭縣,67,96,78,0.27800829875518673,0.3983402489626556,0.3236514522821577
屏東縣,230,431,326,0.23302938196555217,0.43667679837892603,0.3302938196555218
彰化縣,345,388,291,0.3369140625,0.37890625,0.2841796875
新北市,209,564,461,0.1693679092382496,0.45705024311183146,0.373581847649919
新竹市,47,41,75,0.2883435582822086,0.25153374233128833,0.4601226993865031
新竹縣,88,207,175,0.18723404255319148,0.44042553191489364,0.3723404255319149
桃園市,307,447,379,0.2709620476610768,0.39452780229479256,0.33451015004413065
澎湖縣,13,184,21,0.05963302752293578,0.8440366972477065,0.0963302752293578
臺中市,490,647,392,0.32047089601046436,0.42315238718116416,0.2563767168083715
臺北市,175,395,309,0.19908987485779295,0.44937428896473264,0.3515358361774744
臺南市,400,420,422,0.322061191626409,0.33816425120772947,0.3397745571658615
臺東縣,141,274,119,0.2640449438202247,0.5131086142322098,0.22284644194756553
花蓮縣,80,282,73,0.1839080459770115,0.6482758620689655,0.167816091954023
苗栗縣,202,277,209,0.2936046511627907,0.40261627906976744,0.30377906976744184
連江縣,6,20,16,0.14285714285714285,0.47619047619047616,0.38095238095238093
金門縣,0,110,4,0.0,0.9649122807017544,0.03508771929824561
雲林縣,262,354,280,0.2924107142857143,0.3950892857142857,0.3125
高雄市,310,318,348,0.3176229508196721,0.32581967213114754,0.35655737704918034
