縣市,南一,康軒,翰林,南一,康軒,翰林
南投縣,173,390,269,0.20793269230769232,0.46875,0.3233173076923077
嘉義市,41,41,38,0.3416666666666667,0.3416666666666667,0.31666666666666665
嘉義縣,252,278,185,0.35244755244755244,0.3888111888111888,0.25874125874125875
基隆市,56,123,72,0.22310756972111553,0.4900398406374502,0.2868525896414343
宜蘭縣,62,179,209,0.13777777777777778,0.3977777777777778,0.46444444444444444
屏東縣,194,522,286,0.1936127744510978,0.5209580838323353,0.28542914171656686
彰化縣,286,530,222,0.27552986512524086,0.5105973025048169,0.2138728323699422
新北市,294,596,401,0.22773044151820293,0.4616576297443842,0.31061192873741283
新竹市,47,60,94,0.23383084577114427,0.29850746268656714,0.46766169154228854
新竹縣,73,215,220,0.1437007874015748,0.42322834645669294,0.4330708661417323
桃園市,394,479,273,0.343804537521815,0.4179755671902269,0.23821989528795812
澎湖縣,14,164,40,0.06422018348623854,0.7522935779816514,0.1834862385321101
臺中市,377,763,423,0.24120281509916827,0.48816378758797185,0.2706333973128599
臺北市,202,429,277,0.22246696035242292,0.4724669603524229,0.30506607929515417
臺南市,421,431,426,0.32942097026604067,0.33724569640062596,0.3333333333333333
臺東縣,164,267,103,0.30711610486891383,0.5,0.19288389513108614
花蓮縣,91,378,152,0.14653784219001612,0.6086956521739131,0.24476650563607086
苗栗縣,76,269,372,0.10599721059972106,0.37517433751743373,0.5188284518828452
連江縣,9,11,22,0.21428571428571427,0.2619047619047619,0.5238095238095238
金門縣,3,108,3,0.02631578947368421,0.9473684210526315,0.02631578947368421
雲林縣,252,437,222,0.27661909989023054,0.4796926454445664,0.24368825466520308
高雄市,472,670,339,0.3187035786630655,0.4523970290344362,0.2288993923024983
