縣市,南一,康軒,翰林,南一,康軒,翰林
南投縣,135,509,188,0.1622596153846154,0.6117788461538461,0.22596153846153846
嘉義市,58,34,28,0.48333333333333334,0.2833333333333333,0.23333333333333334
嘉義縣,218,319,178,0.3048951048951049,0.4461538461538462,0.24895104895104894
基隆市,72,121,58,0.2868525896414343,0.4820717131474104,0.23107569721115537
宜蘭縣,100,99,251,0.2222222222222222,0.22,0.5577777777777778
屏東縣,275,469,258,0.2744510978043912,0.468063872255489,0.25748502994011974
彰化縣,687,248,103,0.661849710982659,0.23892100192678228,0.09922928709055877
新北市,310,568,417,0.23938223938223938,0.4386100386100386,0.322007722007722
新竹市,8,148,45,0.03980099502487562,0.736318407960199,0.22388059701492538
新竹縣,104,263,141,0.2047244094488189,0.5177165354330708,0.27755905511811024
桃園市,472,391,283,0.4118673647469459,0.3411867364746946,0.2469458987783595
澎湖縣,37,119,62,0.16972477064220184,0.5458715596330275,0.28440366972477066
臺中市,561,591,409,0.35938500960922487,0.37860345932094813,0.26201153106982705
臺北市,304,353,251,0.33480176211453744,0.38876651982378857,0.276431718061674
臺南市,570,406,302,0.4460093896713615,0.31768388106416273,0.23630672926447574
臺東縣,176,205,153,0.3295880149812734,0.3838951310861423,0.28651685393258425
花蓮縣,95,367,159,0.1529790660225443,0.5909822866344605,0.2560386473429952
苗栗縣,168,265,284,0.23430962343096234,0.3695955369595537,0.39609483960948394
連江縣,12,0,30,0.2857142857142857,0.0,0.7142857142857143
金門縣,6,107,1,0.05263157894736842,0.9385964912280702,0.008771929824561403
雲林縣,434,201,282,0.4732824427480916,0.21919302071973829,0.3075245365321701
高雄市,654,503,319,0.44308943089430897,0.3407859078590786,0.21612466124661248
