縣市,南一,康軒,翰林,南一,康軒,翰林
南投縣,52,138,90,0.18571428571428572,0.4928571428571429,0.32142857142857145
嘉義市,8,11,21,0.2,0.275,0.525
嘉義縣,71,77,88,0.3008474576271186,0.326271186440678,0.3728813559322034
基隆市,18,42,21,0.2222222222222222,0.5185185185185185,0.25925925925925924
宜蘭縣,31,43,76,0.20666666666666667,0.2866666666666667,0.5066666666666667
屏東縣,55,142,134,0.1661631419939577,0.42900302114803623,0.40483383685800606
彰化縣,145,113,88,0.4190751445086705,0.3265895953757225,0.2543352601156069
新北市,83,174,175,0.19212962962962962,0.4027777777777778,0.4050925925925926
新竹市,8,28,31,0.11940298507462686,0.417910447761194,0.4626865671641791
新竹縣,29,68,72,0.17159763313609466,0.40236686390532544,0.4260355029585799
桃園市,93,147,140,0.24473684210526317,0.3868421052631579,0.3684210526315789
澎湖縣,5,52,15,0.06944444444444445,0.7222222222222222,0.20833333333333334
臺中市,97,242,177,0.187984496124031,0.4689922480620155,0.3430232558139535
臺北市,66,129,99,0.22448979591836735,0.4387755102040816,0.336734693877551
臺南市,132,132,162,0.30985915492957744,0.30985915492957744,0.38028169014084506
臺東縣,47,91,40,0.2640449438202247,0.5112359550561798,0.2247191011235955
花蓮縣,27,132,44,0.1330049261083744,0.6502463054187192,0.21674876847290642
苗栗縣,44,96,99,0.18410041841004185,0.401673640167364,0.41422594142259417
連江縣,2,0,12,0.14285714285714285,0.0,0.8571428571428571
金門縣,0,33,5,0.0,0.868421052631579,0.13157894736842105
雲林縣,71,99,137,0.23127035830618892,0.32247557003257327,0.44625407166123776
高雄市,126,175,187,0.2581967213114754,0.35860655737704916,0.3831967213114754
