縣市,南一,康軒,翰林,南一,康軒,翰林
南投縣,83,292,177,0.1503623188405797,0.5289855072463768,0.32065217391304346
嘉義市,15,27,38,0.1875,0.3375,0.475
嘉義縣,106,217,155,0.2217573221757322,0.45397489539748953,0.32426778242677823
基隆市,37,72,59,0.22023809523809523,0.42857142857142855,0.35119047619047616
宜蘭縣,65,76,160,0.2159468438538206,0.25249169435215946,0.53156146179402
屏東縣,70,395,203,0.10479041916167664,0.5913173652694611,0.30389221556886226
彰化縣,229,298,165,0.3309248554913295,0.430635838150289,0.2384393063583815
新北市,92,331,442,0.10635838150289018,0.38265895953757223,0.5109826589595375
新竹市,11,64,58,0.08270676691729323,0.48120300751879697,0.43609022556390975
新竹縣,27,183,125,0.08059701492537313,0.5462686567164179,0.373134328358209
桃園市,145,338,281,0.18979057591623036,0.4424083769633508,0.36780104712041883
澎湖縣,13,110,23,0.08904109589041095,0.7534246575342466,0.15753424657534246
臺中市,171,508,355,0.1653771760154739,0.4912959381044487,0.34332688588007737
臺北市,78,277,246,0.129783693843594,0.46089850249584025,0.40931780366056575
臺南市,193,281,378,0.22652582159624413,0.32981220657276994,0.44366197183098594
臺東縣,79,204,73,0.22191011235955055,0.5730337078651685,0.2050561797752809
花蓮縣,43,285,87,0.10361445783132531,0.6867469879518072,0.20963855421686747
苗栗縣,51,224,200,0.10736842105263159,0.47157894736842104,0.42105263157894735
連江縣,4,10,14,0.14285714285714285,0.35714285714285715,0.5
金門縣,1,69,6,0.013157894736842105,0.9078947368421053,0.07894736842105263
雲林縣,142,220,248,0.23278688524590163,0.36065573770491804,0.4065573770491803
高雄市,216,371,389,0.22131147540983606,0.3801229508196721,0.3985655737704918
