縣市,南一,康軒,翰林,南一,康軒,翰林
南投縣,120,245,151,0.23255813953488372,0.4748062015503876,0.2926356589147287
嘉義市,41,24,12,0.5324675324675324,0.3116883116883117,0.15584415584415584
嘉義縣,116,153,120,0.2982005141388175,0.39331619537275064,0.30848329048843187
基隆市,45,60,55,0.28125,0.375,0.34375
宜蘭縣,26,46,27,0.26262626262626265,0.46464646464646464,0.2727272727272727
屏東縣,140,288,193,0.22544283413848631,0.463768115942029,0.3107890499194847
彰化縣,238,226,207,0.35469448584202684,0.33681073025335323,0.30849478390462
新北市,211,218,248,0.31166912850812406,0.32200886262924666,0.3663220088626292
新竹市,48,9,34,0.5274725274725275,0.0989010989010989,0.37362637362637363
新竹縣,77,126,91,0.2619047619047619,0.42857142857142855,0.30952380952380953
桃園市,234,247,225,0.3314447592067989,0.34985835694050993,0.31869688385269124
澎湖縣,9,107,30,0.06164383561643835,0.7328767123287672,0.2054794520547945
臺中市,351,323,290,0.36410788381742737,0.3350622406639004,0.3008298755186722
臺北市,100,108,105,0.3194888178913738,0.3450479233226837,0.3354632587859425
臺南市,249,291,261,0.31086142322097376,0.36329588014981273,0.3258426966292135
臺東縣,109,158,89,0.3061797752808989,0.4438202247191011,0.25
花蓮縣,57,145,44,0.23170731707317074,0.5894308943089431,0.17886178861788618
苗栗縣,96,166,176,0.2191780821917808,0.3789954337899543,0.4018264840182648
連江縣,4,14,10,0.14285714285714285,0.5,0.35714285714285715
金門縣,1,75,0,0.013157894736842105,0.9868421052631579,0.0
雲林縣,183,224,191,0.3060200668896321,0.3745819397993311,0.3193979933110368
高雄市,185,193,247,0.296,0.3088,0.3952
