縣市,南一,康軒,翰林,南一,康軒,翰林
南投縣,104,289,159,0.18840579710144928,0.5235507246376812,0.28804347826086957
嘉義市,31,22,27,0.3875,0.275,0.3375
嘉義縣,124,212,142,0.2594142259414226,0.4435146443514644,0.29707112970711297
基隆市,43,82,43,0.25595238095238093,0.4880952380952381,0.25595238095238093
宜蘭縣,69,82,149,0.23,0.2733333333333333,0.49666666666666665
屏東縣,100,396,172,0.1497005988023952,0.592814371257485,0.25748502994011974
彰化縣,293,279,120,0.4234104046242775,0.4031791907514451,0.17341040462427745
新北市,154,333,378,0.17803468208092485,0.38497109826589593,0.4369942196531792
新竹市,32,49,52,0.24060150375939848,0.3684210526315789,0.39097744360902253
新竹縣,53,186,100,0.15634218289085547,0.5486725663716814,0.2949852507374631
桃園市,231,326,207,0.3023560209424084,0.42670157068062825,0.2709424083769634
澎湖縣,18,111,17,0.1232876712328767,0.7602739726027398,0.11643835616438356
臺中市,253,514,269,0.24420849420849422,0.49613899613899615,0.25965250965250963
臺北市,144,290,168,0.23920265780730898,0.48172757475083056,0.27906976744186046
臺南市,326,254,272,0.3826291079812207,0.2981220657276995,0.3192488262910798
臺東縣,155,147,54,0.4353932584269663,0.41292134831460675,0.15168539325842698
花蓮縣,54,274,87,0.13012048192771083,0.6602409638554216,0.20963855421686747
苗栗縣,95,197,183,0.2,0.4147368421052632,0.38526315789473686
連江縣,4,10,14,0.14285714285714285,0.35714285714285715,0.5
金門縣,2,74,0,0.02631578947368421,0.9736842105263158,0.0
雲林縣,179,211,220,0.2934426229508197,0.34590163934426227,0.36065573770491804
高雄市,358,395,227,0.3653061224489796,0.4030612244897959,0.2316326530612245
