縣市,南一,康軒,翰林,南一,康軒,翰林
南投縣,56,288,192,0.1044776119402985,0.5373134328358209,0.3582089552238806
嘉義市,6,37,30,0.0821917808219178,0.5068493150684932,0.410958904109589
嘉義縣,47,191,160,0.11809045226130653,0.4798994974874372,0.4020100502512563
基隆市,11,90,67,0.06547619047619048,0.5357142857142857,0.39880952380952384
宜蘭縣,12,76,44,0.09090909090909091,0.5757575757575758,0.3333333333333333
屏東縣,66,350,248,0.09939759036144578,0.5271084337349398,0.37349397590361444
彰化縣,91,348,233,0.13541666666666666,0.5178571428571429,0.34672619047619047
新北市,32,360,437,0.038600723763570564,0.43425814234016885,0.5271411338962606
新竹市,2,39,51,0.021739130434782608,0.42391304347826086,0.5543478260869565
新竹縣,12,184,110,0.0392156862745098,0.6013071895424836,0.35947712418300654
桃園市,77,365,318,0.1013157894736842,0.48026315789473684,0.41842105263157897
澎湖縣,11,110,25,0.07534246575342465,0.7534246575342466,0.17123287671232876
臺中市,47,585,385,0.046214355948869225,0.5752212389380531,0.3785644051130777
臺北市,17,353,224,0.02861952861952862,0.5942760942760943,0.3771043771043771
臺南市,75,402,355,0.09014423076923077,0.4831730769230769,0.4266826923076923
臺東縣,87,179,90,0.2443820224719101,0.5028089887640449,0.25280898876404495
花蓮縣,29,157,85,0.1070110701107011,0.5793357933579336,0.31365313653136534
苗栗縣,35,208,209,0.07743362831858407,0.46017699115044247,0.46238938053097345
連江縣,1,13,14,0.03571428571428571,0.4642857142857143,0.5
金門縣,3,67,6,0.039473684210526314,0.881578947368421,0.07894736842105263
雲林縣,80,281,241,0.132890365448505,0.46677740863787376,0.4003322259136213
高雄市,65,376,225,0.09759759759759759,0.5645645645645646,0.33783783783783783
