縣市,南一,康軒,翰林
南投縣,0.2638888888888889,0.4166666666666667,0.3194444444444444
嘉義市,0.20833333333333334,0.25,0.5416666666666666
嘉義縣,0.35185185185185186,0.2777777777777778,0.37037037037037035
基隆市,0.14705882352941177,0.4411764705882353,0.4117647058823529
宜蘭縣,0.10909090909090909,0.5454545454545454,0.34545454545454546
屏東縣,0.16666666666666666,0.40476190476190477,0.42857142857142855
彰化縣,0.1724137931034483,0.4367816091954023,0.39080459770114945
新北市,0.20618556701030927,0.4536082474226804,0.3402061855670103
新竹市,0.175,0.425,0.4
新竹縣,0.21428571428571427,0.4,0.38571428571428573
桃園市,0.16666666666666666,0.572463768115942,0.2608695652173913
澎湖縣,0.14285714285714285,0.7857142857142857,0.07142857142857142
臺中市,0.29015544041450775,0.38341968911917096,0.32642487046632124
臺北市,0.20348837209302326,0.43023255813953487,0.36627906976744184
臺南市,0.14864864864864866,0.5675675675675675,0.28378378378378377
臺東縣,0.40816326530612246,0.16326530612244897,0.42857142857142855
花蓮縣,0.3,0.34,0.36
苗栗縣,0.22972972972972974,0.581081081081081,0.1891891891891892
連江縣,0.0,0.8,0.2
金門縣,0.1,0.9,0.0
雲林縣,0.4,0.1875,0.4125
高雄市,0.23529411764705882,0.39705882352941174,0.36764705882352944
